fist 拳头；抓住
fashion 流行装扮；时尚
compat 兼容
Recognize 辨别出；承认
consider 考虑；认为
Manual 手册，指南；手工的；
upstream 上游；逆流地
relay 传递，传达（信息、新闻等）；中继转发，转播
universal 普遍的；通用的
trail 痕迹，踪迹
bucket 桶
epic 叙事诗，史诗
demand 需要，需求
withdraw 取款；退出；撤离
reflect on 反思，思考
Vendor 小贩，摊贩；<法律>卖主，卖方；

crisp 爽口的，脆生的；脆的，易碎的；洁净的；（图片或声音）清晰的；（言行）干脆利落的；
ceremony 典礼；礼节
weird 奇怪的；预言者
stomp 跺脚; <非正式>（速度快拍子重的）调子或歌曲
appropriate 合适的；私占
tub 盆，桶；
mistake 错误，过失；
reduce 减少，降低；归纳，简化；
infix 把……植入；插入（中缀）；用力插入
rid 使……去除；摆脱
goof 愚蠢的错误；傻瓜
typography 排印；印刷格式

embed 嵌入， 把……插入；深信
enumerate 列举；枚举
trend 趋势，动态；时尚
Pulse 脉搏，脉率；
urge 催促；竭力主张，强烈要求；驱赶
camel 骆驼
opportunity 时机，机会
envelope 信封
argument 争论，争吵
Insider 内部的人，知情人
inspect 审视；检阅
Invoke 调用；行使；援用
apology 道歉

clip 夹子，回形针；修剪；
campaign 运动；战役
mean 意思，意欲; 小气的；不善良的; 平均的；
squeeze 挤压，捏；挤出
spit 吐出（食物，液体）；怒斥；（火，煮物）
gargle 漱；漱口；
wrinkle 皱纹；
vacuum 真空吸尘器；空白
participation 参加，参与
assembly 代表大会；集会；装配；（计算机）汇编
lantern 灯笼；天窗
pajamas 睡衣；宽长裤
comic 好笑的；喜剧的
mature 成熟的
applause 掌声，喝彩
legacy 遗产，遗赠物；遗留问题
industry 工业；行业；勤劳；范围
manufacture 制造；捏造；生成
corporate 公司，集团
digitize （使）数码化
incredibly 难以置信地；非常地
engagement 订婚；约会；从事；(与……的)密切关系
conclude 推断出；结束；做成，完成
heartfelt 由衷的，诚挚的
expansion 扩张；扩充
transition 转变，过渡
portal 正门；门户网站
matrix 矩阵
peek 偷看；微露出，探出
drill 钻孔；训练，演习；
cybersecurity 网络安全
anchor 锚；支柱；使稳固；成为支柱
fractional 部分的；[数] 分数的，小数的
delta δ;三角洲；丁，第四位
surface 表面；表象；表面积
overflow 泛滥 ；充满;完全盖住；扩展出界
decoration 装饰品；勋章
variant 变种，变形；
scaffold 脚手架；绞刑台
